Linea;PK;Longitud;Latitud
40;41790;-3.711.115;40.152.224
40;41800;-3.711.034;40.152.159
40;41810;-3.710.953;40.152.094
40;41820;-3.710.872;40.152.028
40;41830;-3.710.791;40.151.963
40;41840;-3.710.710;40.151.898
40;41850;-3.710.628;40.151.833
40;41860;-3.710.547;40.151.768
40;41870;-3.710.466;40.151.703
40;41880;-3.710.385;40.151.638
40;41890;-3.710.304;40.151.572
40;41900;-3.710.223;40.151.507
40;41910;-3.710.142;40.151.442
40;41920;-3.710.061;40.151.377
40;41930;-3.709.980;40.151.312
40;41940;-3.709.899;40.151.247
40;41950;-3.709.818;40.151.181
40;41960;-3.709.737;40.151.116
40;41970;-3.709.656;40.151.051
40;41980;-3.709.575;40.150.986
40;41990;-3.709.494;40.150.920
40;42000;-3.709.413;40.150.855
40;42010;-3.709.332;40.150.790
40;42020;-3.709.251;40.150.725
40;42030;-3.709.170;40.150.659
40;42040;-3.709.089;40.150.594
40;42050;-3.709.008;40.150.529
40;42060;-3.708.927;40.150.464
40;42070;-3.708.845;40.150.399
40;42080;-3.708.764;40.150.334
40;42090;-3.708.683;40.150.269
40;42100;-3.708.602;40.150.203
40;42110;-3.708.522;40.150.138
40;42120;-3.708.441;40.150.073
40;42130;-3.708.360;40.150.007
